Province_State,Admin2,Lat,Long_,Date,Confirmed,Deaths,Daily_Confirmed,Daily_Deaths
California,Sacramento,38.45106826,-121.34253740000001,2020-03-01,2,0,0.0,0.0
California,San Benito,36.60308176,-121.069975,2020-03-01,2,0,0.0,0.0
California,San Diego,33.03484597,-116.73653259999999,2020-03-01,2,0,0.0,0.0
California,Santa Clara,37.23104908,-121.6970462,2020-03-01,3,0,0.0,0.0
Illinois,Cook,41.84144849,-87.81658794,2020-03-01,3,0,1.0,0.0
Massachusetts,Suffolk,42.327951399999996,-71.07850442,2020-03-01,1,0,0.0,0.0
Oregon,Washington,45.55972701,-123.0955257,2020-03-01,1,0,0.0,0.0
Rhode Island,Providence,41.87064746,-71.57753536,2020-03-01,1,0,1.0,0.0
Washington,King,47.49137892,-121.8346131,2020-03-01,9,1,3.0,0.0
Washington,Snohomish,48.04615983,-121.7170703,2020-03-01,2,0,1.0,0.0
Arizona,Maricopa,33.34835867,-112.49181540000001,2020-03-02,1,0,0.0,0.0
California,Humboldt,40.69923009,-123.876044,2020-03-02,1,0,0.0,0.0
California,Los Angeles,34.30828379,-118.22824109999999,2020-03-02,1,0,0.0,0.0
California,Orange,33.70147516,-117.76459979999998,2020-03-02,1,0,0.0,0.0
California,Placer,39.06167234,-120.72405690000001,2020-03-02,1,0,1.0,0.0
California,Sacramento,38.45106826,-121.34253740000001,2020-03-02,2,0,0.0,0.0
California,San Benito,36.60308176,-121.069975,2020-03-02,2,0,0.0,0.0
California,San Diego,33.03484597,-116.73653259999999,2020-03-02,2,0,0.0,0.0
California,San Mateo,37.422880799999994,-122.32755459999998,2020-03-02,1,0,1.0,0.0
California,Santa Clara,37.23104908,-121.6970462,2020-03-02,9,0,6.0,0.0
California,Sonoma,38.52746429,-122.88625060000001,2020-03-02,1,0,1.0,0.0
